Visitor ID,dim1,dim2,dim3,dim4,,Label
1,m,1,Electronics,57,,GROUP1
2,f,3,Bags,102,,VIP
3,m,4,Shirts,34,,VIP
4,f,3,Shoes,75,,GROUP1
5,f,7,Shoes,75,,GROUP2
6,f,1,Electronics,57,,VIP
7,m,3,Jeans,56,,GROUP2
8,f,9,Electronics,57,,VIP
9,f,4,Electronics,57,,GROUP1
10,f,8,Shirts,34,,GROUP2
11,m,5,Jeans,56,,VIP
12,m,3,Electronics,57,,GROUP1
13,m,6,Shirts,34,,GROUP1
14,m,7,Jeans,56,,GROUP3
15,f,4,Bags,102,,GROUP2
16,f,3,Shirts,34,,GROUP1
17,m,10,Electronics,57,,GROUP3
18,m,6,Shirts,34,,GROUP1
19,f,7,Shoes,75,,GROUP2
20,f,1,Electronics,57,,VIP
